country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mauritius,,,,,,,,,,,,2.57,1.98,1.22,1.65,1.59,1.26,1.24,0.819,0.857,0.993,1.17,0.923,1.1,1.12,0.984,0.867,0.945
Malawi,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,0.258,0.207,0.188,0.21,0.172,0.172,0.191,0.24,
Namibia,,,,,,,,,,,,,,,,,,,,,,,4.02,5.4,5.14,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,7.27,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,0.406,,,,,
Netherlands,,,1.63,1.91,2.33,2.52,2.17,1.7,1.37,0.996,,,0.517,0.98,1.45,1.56,1.23,0.912,0.75,0.819,1.22,1.3,1.58,2.24,2.41,2.26,1.82,1.36
Norway,1.05,1.09,1.29,1.5,1.26,1.52,0.926,0.655,0.484,0.353,0.453,0.531,0.628,0.659,0.908,0.822,0.763,0.424,0.375,0.649,0.917,0.708,0.717,0.672,0.741,0.967,1.26,1.07
Nepal,,,,,,,,,,,,,,,,,,,0.445,,,,,,,,,
New Zealand,1.48,2.99,3.37,3.11,2.5,1.58,1.32,1.44,1.67,1.58,1.24,0.95,0.824,0.66,0.465,0.439,0.405,0.304,0.334,0.749,0.932,1.03,1.07,0.91,0.855,0.846,0.89,0.899
Pakistan,,,,,,,,,,,,,,,,,0.0951,0.065,0.0735,0.0864,0.0792,0.119,,0.62,0.626,1.08,1.02,
Panama,,,,,,,,,,,,,,,,,,,,0.589,0.294,0.195,0.171,,0.0795,0.267,0.223,0.239
Peru,,,,,,,,,,,,,0.165,,0.0423,0.0509,,,,,,,,,,,,
Philippines,,,,,,,,,,,,0.118,,0.0824,0.0894,0.0722,0.0723,0.0489,0.049,0.0483,0.0316,0.0299,0.0302,0.0272,0.0204,,0.0158,0.0149
Poland,,,3.75,3.78,3.97,3.55,3.22,3.08,2.74,3.33,4.94,6.01,6.97,7,6.84,6.33,4.76,3.12,1.66,1.93,2.56,2.67,2.89,3.1,2.75,2.2,1.68,1.26
Portugal,,,0.574,1.14,1.66,2.08,2.05,1.95,1.34,1.53,1.03,0.904,1.16,1.66,2.06,2.49,2.57,2.44,2.34,3.03,3.81,4.48,5.87,6.44,5.42,4.63,4.13,3
Paraguay,,,,,,,,,,,,,1.34,1.3,0.876,0.568,0.778,0.813,0.757,1.3,0.67,0.715,0.523,0.621,0.737,0.813,0.666,0.523
Palestine,,,,,,2.96,,,,,1.58,5.81,8.91,6.5,6.34,5.33,5.02,4.27,6.31,5.54,5.27,3.37,3.51,3.55,5.04,3.87,3.28,3.97
Qatar,,,,,,,,,,,,,,,,,,,,0.13,,0.0934,0.0693,0.0414,0.0325,0.0254,0.0268,0.0258
Romania,,,,,,,,2.01,2.09,2.6,3.04,2.61,3.59,3,3.28,2.88,3.09,2.49,2.02,2.19,2.37,2.39,2.34,2.53,2.41,2.59,2.34,1.88
Russia,,,0.597,0.969,1.71,2.34,2.79,3.67,4.15,4.65,3.67,2.76,2.48,2.55,2.45,2.27,2.47,2.06,1.85,2.23,2.28,2.23,1.72,1.74,1.6,1.69,1.75,1.65
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38
Saudi Arabia,,,,,,,,,,,,,,,,,,,,0.874,,1.4,0.967,0.774,,,0.821,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.437,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,0.788,,,
Serbia,,,,,,,,,,,,,,,,,,,4.06,4.51,5.75,7.34,7.82,7.08,6.13,5.41,4.77,4.04
Slovak Republic,,,,,4.3,4.43,3.72,3.69,4.1,5.44,7.63,8.27,8.36,7.72,8.02,7.26,6.04,4.78,3.86,4.56,6.66,6.51,6.43,6.83,6.26,4.58,3.86,3.6
Slovenia,,,,,,,2.65,2.43,2.75,2.67,2.8,2.21,2.38,2.41,2.14,2.24,1.86,1.38,1.28,1.72,2.77,2.84,2.95,3.56,3.37,2.93,2.74,2.08
Sweden,0.226,0.483,1.18,2.35,2.93,2.33,3.19,3.1,3.08,2.12,1.5,1.02,1.16,1.25,1.61,0.345,0.919,1.07,0.992,1.67,1.96,1.73,1.79,1.76,1.73,1.63,1.55,1.51
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,
Thailand,,,,,,,,,,,,,,,,,,,,0.138,0.0842,0.117,0.0887,0.0661,0.0669,0.0663,0.0739,
Tajikistan,,,,,,,,,,,,,,,,,,,,0.743,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,5.31,4.62,,,,
Turkey,2.8,2.84,3.07,3.13,3.1,2.34,2.39,2.06,2.16,1.95,1.14,1.46,2.39,1.98,2.9,2.76,1.75,1.65,1.71,2.41,2.02,1.48,1.27,1.3,1.4,1.5,1.55,1.59
Tanzania,,,,,,,,,,,,0.873,,,,,0.732,,,,,,,,0.565,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.524,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,1.79,2.05,1.61,1.66,1.57,1.53,1.89,1.85,2.17
Uruguay,,,,,,,,,,,,,,,,,0.523,0.287,0.17,0.163,0.132,0.0846,0.0839,0.0787,0.0842,0.162,0.146,0.114
United States,0.383,0.591,0.996,0.891,0.875,0.662,0.633,0.526,0.428,0.355,0.316,0.394,0.731,0.914,0.812,0.668,0.568,0.56,0.801,2.02,2.73,2.39,1.98,1.68,1.25,0.946,0.8,0.664
Venezuela,,,,,,,,,,,,,,,,1.23,1.24,0.739,0.648,0.654,0.79,0.761,0.672,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.266,0.241,0.189,0.35,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.642,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,0.972,,,
South Africa,,,,,,,,,,,3.76,3,2.88,2.67,2.37,2.07,1.82,1.92,5.87,6.54,7.19,7.22,7.29,7.27,7.34,7.41,8.09,8.64
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,
