country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Malawi,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,0.181,0.158,0.142,0.148,0.156,0.17,0.172,0.204,
Namibia,,,,,,,,,,,,,,,,,,,,,,,4.98,6.5,6.05,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,7.15,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,0.537,,,,,
Netherlands,,,2.18,2.09,2.26,2.54,2.43,2.23,1.82,1.53,,,0.588,0.818,1.18,1.33,1.18,0.924,0.682,0.743,1.01,1.24,1.49,1.88,2.14,2.01,1.76,1.41
Norway,0.838,0.797,0.829,0.916,0.797,1.26,0.688,0.551,0.382,0.217,0.14,0.202,0.383,0.385,0.542,0.571,0.532,0.342,0.261,0.346,0.439,0.505,0.406,0.536,0.569,0.655,0.775,0.69
Nepal,,,,,,,,,,,,,,,,,,,0.386,,,,,,,,,
New Zealand,0.713,1.46,1.75,1.52,1.27,0.891,0.801,0.861,1.03,0.916,0.758,0.598,0.559,0.512,0.38,0.322,0.314,0.25,0.234,0.618,0.841,0.801,1.04,0.936,0.892,0.921,0.832,0.874
Pakistan,,,,,,,,,,,,,,,,,0.0175,0.0123,0.0232,,0.0351,0.0271,,0.25,0.245,0.833,0.847,
Panama,,,,,,,,,,,,,,,,,,,,1.17,0.484,0.233,0.246,0.176,0.235,0.391,0.384,0.324
Peru,,,,,,,,,,,,,0.0935,,0.0419,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,0.0824,,0.0726,0.064,0.0419,0.0442,0.03,0.036,0.033,0.024,0.0225,0.0231,0.0205,0.0158,,0.0125,0.014
Poland,,,3.98,4.15,4.37,3.91,3.66,3.76,3.43,3.64,5.46,6.35,6.57,6.17,5.98,5.9,4.33,2.8,1.73,1.84,2.11,2.42,2.68,2.82,2.38,1.76,1.28,0.901
Portugal,,,0.775,1.3,1.82,2.04,2.23,2.03,1.63,1.42,1.27,1.37,1.37,1.99,2.16,2.74,2.82,2.92,2.63,3.12,3.97,3.95,4.86,5.5,4.85,4.13,3.46,2.85
Paraguay,,,,,,,,,,,,,1.2,0.902,0.942,0.757,0.785,1.4,1.16,1.17,1.03,1.26,0.833,1.02,1.28,0.892,0.936,0.569
Palestine,,,,,,0.633,,,,,0.52,0.462,0.658,0.859,0.984,1.15,1.09,1.12,1.42,1.59,1.53,1.79,2.27,2.52,3.05,2.62,2.79,4.1
Qatar,,,,,,,,,,,,,,,,,,,,0.606,,0.827,0.549,0.29,0.222,0.197,0.174,0.179
Romania,,,,,,,,2.13,1.84,1.85,2.18,2.01,2.6,2.11,1.94,1.68,1.77,1.48,1.06,1.23,1.25,1.44,1.44,1.52,1.44,1.41,1.22,0.867
Russia,,,0.661,1.02,1.51,2.05,2.3,2.98,3.38,3.98,3.22,2.35,2.04,2.17,2.12,2.01,2.02,1.67,1.6,1.75,1.74,1.7,1.31,1.36,1.25,1.36,1.48,1.38
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31
Saudi Arabia,,,,,,,,,,,,,,,,,,,,0.909,,2.04,2.09,1.42,,,2.29,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.511,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,0.658,,,
Serbia,,,,,,,,,,,,,,,,,,,4.11,4.18,4.68,5.48,6.01,5.87,5.19,4.53,4.01,3.4
Slovak Republic,,,,,3.53,3.92,3.47,3.61,3.72,4.9,5.92,6.45,6.85,6.26,7.07,6.35,5.46,4.59,3.91,4.11,5.26,4.78,5.14,5.18,4.84,4.41,3.5,2.85
Slovenia,,,,,,,1.93,2.01,2.39,2.15,2.41,2.06,1.88,2.15,2.05,2.09,2.24,1.66,1.3,1.32,1.91,2.27,2.79,3.34,3.41,3.09,2.67,2.02
Sweden,0.203,0.332,0.662,1.2,1.61,1.55,1.93,2.41,1.9,1.38,1.04,0.685,0.725,0.739,1.06,0.277,0.72,0.865,0.816,1.2,1.51,1.32,1.24,1.28,1.27,1.22,1.07,1.05
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,
Thailand,,,,,,,,,,,,,,,,,,,,0.108,0.0553,0.0749,0.052,0.0458,0.041,0.0536,0.0708,
Tajikistan,,,,,,,,,,,,,,,,,,,,0.209,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,4.24,3.78,,,,
Turkey,1.42,1.18,1.25,1.23,1.26,1.11,0.918,1.07,0.926,0.884,0.514,0.678,0.937,0.93,1.12,1.16,0.817,0.784,0.806,1.15,1.15,1,0.904,1.05,1.08,1.24,1.36,1.55
Tanzania,,,,,,,,,,,,0.931,,,,,1.57,,,,,,,,0.883,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.766,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,1.04,1.3,1.12,1.17,1.03,0.904,1.22,1.27,1.12
Uruguay,,,,,,,,,,,,,,,,,0.785,0.488,0.307,0.306,0.202,0.162,0.134,0.0967,0.126,0.161,0.159,0.173
United States,0.178,0.286,0.532,0.499,0.592,0.483,0.477,0.412,0.327,0.291,0.254,0.31,0.559,0.648,0.605,0.519,0.429,0.428,0.578,1.33,1.82,1.81,1.61,1.32,1.01,0.713,0.613,0.547
Venezuela,,,,,,,,,,,,,,,,1.58,1.33,0.932,0.767,0.756,0.897,0.941,0.917,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.2,0.188,0.146,0.249,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.808,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.406,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,0.113,,,
South Africa,,,,,,,,,,,4.04,2.85,2.95,2.67,2.36,2.37,2.34,2.28,6.73,6.62,7.05,7.35,7.25,7.15,7.35,7.63,8.18,8.51
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,3.42,,,
